industries,c_corp,pass_thru,ooh
Farms,0.2653,0.2653,0
"Forestry,_Fishing,_and_Related_Activites",0.2408,0.2408,0
Oil_and_Gas_Extraction,0.2215,0.2215,0
Mining_(Except_Oil_and_Gas),0.1915,0.1915,0
Support_Activities_For_Mining,0.1492,0.1492,0
Utilities,0.3472,0.3472,0
Construction,0.2542,0.2542,0
"Food,_Beverage,_and_Tobacco_Product_Manufacturing",0.317,0.317,0
Textile_and_Textile_Product_Mills,0.1778,0.1778,0
"Apparel,_Leather,_and_Allied_Products_Manufacturing",0.3049,0.3049,0
Wood_Product_Manufacturing,0.2361,0.2361,0
Paper_Manufacturing,0.298,0.298,0
Printing_and_Related_Support_Activities,0.4489,0.4489,0
Petroleum_and_Coal_Products_Manufacturing,0.2213,0.2213,0
Chemical_Manufacturing,0.226,0.226,0
Plastics_and_Rubber_Products_Manufacturing,0.3132,0.3132,0
Nonmetallic_Mineral_Product_Manufacturing,0.2411,0.2411,0
Primary_Metal_Manufacturing,0.2896,0.2896,0
Fabricated_Metal_Product_Manufacturing,0.2792,0.2792,0
Machinery_Manufacturing,0.2514,0.2514,0
Computer_and_Electronic_Product_Manufacturing,0.3333,0.3333,0
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing",0.1798,0.1798,0
Motor_Vehicle_and_Parts_Manufacturing,0.3497,0.3497,0
Other_Transportation_Equipment_Manufacturing,0.3404,0.3404,0
Furniture_and_Related_Products_Manufacturing,0.3207,0.3207,0
Miscellaneous_Manufacturing,0.2418,0.2418,0
Wholesale_Trade,0.1718,0.1718,0
Retail_Trade,0.3554,0.3554,0
Air_Transportation,0.3995,0.3995,0
Rail_Transportation,0.2678,0.2678,0
Water_Transportation,0.2619,0.2619,0
Truck_Transportation,0.2638,0.2638,0
Transit_and_Ground_Passenger_Transportation,0.254,0.254,0
Pipeline_Transportation,0.2555,0.2555,0
Other_Transportation_and_Support_Activities,0.3399,0.3399,0
Warehousing_and_Storage,0.2944,0.2944,0
Publishing_Industries_(Except_Internet),0.2855,0.2855,0
Motion_Picture_and_Sound_Recording_Industries,0.2479,0.2479,0
Broadcasting_(Except_Internet)_and_Telecommunications,0.2888,0.2888,0
"Data_Processing,_Hosting,_and_Other_Information_Services",0.1612,0.1612,0
Credit_Intermediation_and_Related_Activities,0.6408,0.6408,0
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",0.5441,0.5441,0
Insurance_Carriers_and_Related_Activities,0.1917,0.1917,0
"Funds,_Trusts,_and_Other_Financial_Vehicles_",0.7338,0.7338,0
Real_Estate,0.3229,0.3229,0
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),0.4081,0.4081,0
"Professional,_Scientific,_and_Technical_Services",0.2809,0.2809,0
Management_Of_Companies_and_Enterprises,0.6269,0.6269,0
Administrative_and_Support_Services,0.377,0.377,0
Waste_Management_and_Remediation_Services,0.4453,0.4453,0
Educational_Services,0.2785,0.2785,0
Ambulatory_Health_Care_Services,0.4508,0.4508,0
Hospitals,0.8845,0.8845,0
Nursing_and_Residential_Care_Facilities,0.5443,0.5443,0
Social_Assistance,0.4785,0.4785,0
"Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities",0.3887,0.3887,0
"Amusement,_Gambling,_and_Recreation_Services",0.4843,0.4843,0
Accomodation,0.5515,0.5515,0
Food_Services_and_Drinking_Places,0.6248,0.6248,0
Other_Services_(Except_Public_Administration),0.329,0.329,0
Owner-occupied_Housing,0,0,0.4136
