"Economic Depreciation Rates, by Detailed Industries and Asset Types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries/Asset types,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Farms,0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
"Forestry,_Fishing,_and_Related_Activites",0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
Oil_and_Gas_Extraction,0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
Mining_(Except_Oil_and_Gas),0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
Support_Activities_For_Mining,0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
Hydroelectric_Power_Generation,0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
Nuclear_Electric_Power_Generation,0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
"Fossil_Fuel_Electric_Power_Generation,_Combustion",0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
Other_Electric_Power_Generation,0.3768,0.1113,0.1411,0.1951,0.1394,0.1942,0.3477,0.5137,0.0954,0.0527,0.2231,0.1282,0.104,0.1079,0.0495,0.2125,0.2143,0.2206,0.1116,0.0621,0.0602,0.1434,0.1216,0.1208,0.1521,0.1559,0.1727,0.1563,0.1569,0.1794,0.1948,0.1535,0.0234,0.0177,0.0207,0.0579,0.0253,0.0297,0.0207,0.0207,0.03,0.03,0.0238,0.0241,0.0235,0.0801,0.0442,0.0184,0.0177,0.0276,0.0293,0.0246,0.0175,0.0227,0.0234,0.022,0.0224,0.0801,0.0801,0.0801,0.0801,0.0442,0.0442,0.0442,0.0442,0.706,0.361,0.3646,0.3646,0.1731,0.1731,0.0951,0.1786,0.1284,0.2869,0.1105,0,0,0.1624,0.0238,0,0,0,0,0
