parameter,value
financial_sector_debt_share,0.5573
nonfinancial_c_corp_debt_share,0.2815
nonfinancial_pass_thru_debt_share,0.3141
ooh_debt_share,0.4105
c_corp_equity_retained_earnings_share,0.8
nominal_rate_of_return_equity,0.0825
nominal_rate_of_return_debt,0.0591
inflation_rate,0.0235
avg_local_prop_tax_rate,0.012
cap_gains_short_term_share,0.0276
cap_gains_at_death_share,0.4289
cap_gains_short_term_holding_period,0.3445
cap_gains_long_term_holding_period,9.5415
cap_gains_at_death_holding_period,30
ret_plan_deferred_holding_period,9.5415
ret_plan_nontaxable_holding_period,1
inventories_holding_period,0.1027
