year,c_corp_tax_rate,pass_thru_tax_rate,seca_tax_rate,repurchases_tax_rate,ooh_tax_rate,dividend_inc_tax_rate,cap_gains_short_term_tax_rate,cap_gains_long_term_tax_rate,cap_gains_at_death_tax_rate,interest_inc_from_biz_tax_rate,interest_inc_from_ooh_tax_rate,ret_plan_deferred_tax_rate,ret_plan_nontaxable_tax_rate,mortg_interest_deduction_tax_rate,prop_tax_deduction_tax_rate,pass_thru_inc_share_below_thresholds,pass_thru_eligibility_below_thresholds,c_corp_interest_deductible_share,pass_thru_interest_deductible_share,mortg_interest_deductible_share,prop_tax_deductible_share,c_corp_net_inc_timing_adjustment,pass_thru_net_inc_timing_adjustment,seca_net_inc_timing_adjustment,c_corp_deductions_timing_adjustment,pass_thru_deductions_timing_adjustment,seca_deductions_timing_adjustment,c_corp_credits_timing_adjustment,pass_thru_credits_timing_adjustment,change_cap_gains_short_term_share,change_cap_gains_at_death_share,change_cap_gains_short_term_holding_period,change_cap_gains_long_term_holding_period,change_cap_gains_at_death_holding_period,change_ret_plan_deferred_holding_period,change_ret_plan_nontaxable_holding_period,change_inventories_holding_period,recovery_periods,acceleration_rates,straight_line_flags,inflation_adjustments,c_corp_sec_179_expens_shares,pass_thru_sec_179_expens_shares,other_expens_shares,itc_rates,itc_nondeprcbl_bases,ptc_rates,sec_199A_adjustments,c_corp_industry_adjustments,pass_thru_industry_adjustments,c_corp_asset_adjustments,pass_thru_asset_adjustments,c_corp_equity_account_category_share_taxable,c_corp_equity_account_category_share_deferred,c_corp_equity_account_category_share_nontaxable,c_corp_debt_account_category_share_taxable,c_corp_debt_account_category_share_deferred,c_corp_debt_account_category_share_nontaxable,pass_thru_equity_account_category_share_taxable,pass_thru_equity_account_category_share_deferred,pass_thru_equity_account_category_share_nontaxable,pass_thru_debt_account_category_share_taxable,pass_thru_debt_account_category_share_deferred,pass_thru_debt_account_category_share_nontaxable,ooh_equity_account_category_share_taxable,ooh_equity_account_category_share_deferred,ooh_equity_account_category_share_nontaxable,ooh_debt_account_category_share_taxable,ooh_debt_account_category_share_deferred,ooh_debt_account_category_share_nontaxable
2024,0.21,0.3138,0.0377,0.01,0,0.1960,0.3389,0.2074,0,0.2878,0.2878,0.2260,0,0.2012,0.1868,0.3094,0.7771,0.8808,0.9760,0.6163,0.0584,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_2024,CLaw_2024,CLaw_full,CLaw_2024,CLaw_temp,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6293,0.0362,0.3345,0.4303,0.1663,0.4034,1,0,0,0.7155,0.1113,0.1732,1,0,0,0.8201,0.0601,0.1198
2025,0.21,0.3203,0.0378,0.01,0,0.1943,0.3325,0.2045,0,0.2872,0.2872,0.2247,0,0.1990,0.1852,0.3085,0.7766,0.8836,0.9771,0.6839,0.0643,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_2025,CLaw_2025,CLaw_full,CLaw_2025,CLaw_temp,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6336,0.0362,0.3302,0.4328,0.1663,0.4009,1,0,0,0.7170,0.1113,0.1717,1,0,0,0.8212,0.0601,0.1187
2026,0.21,0.3386,0.0379,0.01,0,0.1983,0.3372,0.2056,0,0.3015,0.3015,0.2525,0,0.2185,0.1757,1,1,0.8825,0.9781,0.9396,0.7689,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_2026,CLaw_2026,CLaw_full,CLaw_2026,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6296,0.0362,0.3342,0.4306,0.1663,0.4031,1,0,0,0.7156,0.1113,0.1731,1,0,0,0.8201,0.0601,0.1198
2027,0.21,0.3392,0.038,0.01,0,0.1979,0.3380,0.2050,0,0.3038,0.3038,0.2530,0,0.2178,0.1753,1,1,0.8812,0.9775,0.9440,0.7792,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_perm,CLaw_2027,CLaw_full,CLaw_2027,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6331,0.0362,0.3307,0.4326,0.1663,0.4011,1,0,0,0.7168,0.1113,0.1719,1,0,0,0.8211,0.0601,0.1188
2028,0.21,0.3379,0.038,0.01,0,0.1964,0.3366,0.2048,0,0.3041,0.3041,0.2510,0,0.2185,0.1754,1,1,0.8812,0.9775,0.9455,0.7777,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_perm,CLaw_2028,CLaw_full,CLaw_2028,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6332,0.0362,0.3306,0.4328,0.1663,0.4009,1,0,0,0.7169,0.1113,0.1718,1,0,0,0.8211,0.0601,0.1188
2029,0.21,0.3374,0.038,0.01,0,0.1961,0.3101,0.2017,0,0.2957,0.2957,0.2512,0,0.2195,0.1753,1,1,0.8783,0.9770,0.9467,0.7764,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_perm,CLaw_2029,CLaw_full,CLaw_2029,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6343,0.0362,0.3295,0.4335,0.1663,0.4002,1,0,0,0.7172,0.1113,0.1715,1,0,0,0.8213,0.0601,0.1186
2030,0.21,0.3373,0.0381,0.01,0,0.1983,0.3118,0.2031,0,0.2948,0.2948,0.2503,0,0.2203,0.1751,1,1,0.8773,0.9768,0.9483,0.7767,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_perm,CLaw_2030,CLaw_full,CLaw_2030,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6356,0.0362,0.3282,0.4343,0.1663,0.3994,1,0,0,0.7177,0.1113,0.1710,1,0,0,0.8216,0.0601,0.1183
2031,0.21,0.3379,0.0382,0.01,0,0.1961,0.3126,0.2029,0,0.2949,0.2949,0.2507,0,0.2203,0.1746,1,1,0.8776,0.9768,0.9501,0.7755,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_perm,CLaw_2031,CLaw_full,CLaw_2031,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6365,0.0362,0.3273,0.4349,0.1663,0.3988,1,0,0,0.7180,0.1113,0.1707,1,0,0,0.8218,0.0601,0.1181
2032,0.21,0.3367,0.0383,0.01,0,0.2010,0.3132,0.2046,0,0.2977,0.2977,0.2535,0,0.2206,0.1744,1,1,0.8786,0.9770,0.9519,0.7758,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_perm,CLaw_2032,CLaw_full,CLaw_2032,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6356,0.0362,0.3282,0.4345,0.1663,0.3992,1,0,0,0.7177,0.1113,0.1710,1,0,0,0.8216,0.0601,0.1183
2033,0.21,0.3374,0.0383,0.01,0,0.2022,0.3120,0.2044,0,0.2979,0.2979,0.2552,0,0.2212,0.1747,1,1,0.8799,0.9773,0.9534,0.7745,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLCC_perm,CLPT_perm,CLaw_perm,CLaw_2033,CLaw_full,CLaw_2033,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6367,0.0362,0.3271,0.4351,0.1663,0.3986,1,0,0,0.7181,0.1113,0.1706,1,0,0,0.8218,0.0601,0.1181
