year,c_corp_tax_rate,pass_thru_tax_rate,seca_tax_rate,repurchases_tax_rate,ooh_tax_rate,dividend_inc_tax_rate,cap_gains_short_term_tax_rate,cap_gains_long_term_tax_rate,cap_gains_at_death_tax_rate,interest_inc_from_biz_tax_rate,interest_inc_from_ooh_tax_rate,ret_plan_deferred_tax_rate,ret_plan_nontaxable_tax_rate,mortg_interest_deduction_tax_rate,prop_tax_deduction_tax_rate,pass_thru_inc_share_below_thresholds,pass_thru_eligibility_below_thresholds,c_corp_interest_deductible_share,pass_thru_interest_deductible_share,mortg_interest_deductible_share,prop_tax_deductible_share,c_corp_net_inc_timing_adjustment,pass_thru_net_inc_timing_adjustment,seca_net_inc_timing_adjustment,c_corp_deductions_timing_adjustment,pass_thru_deductions_timing_adjustment,seca_deductions_timing_adjustment,c_corp_credits_timing_adjustment,pass_thru_credits_timing_adjustment,change_cap_gains_short_term_share,change_cap_gains_at_death_share,change_cap_gains_short_term_holding_period,change_cap_gains_long_term_holding_period,change_cap_gains_at_death_holding_period,change_ret_plan_deferred_holding_period,change_ret_plan_nontaxable_holding_period,change_inventories_holding_period,recovery_periods,acceleration_rates,straight_line_flags,inflation_adjustments,c_corp_sec_179_expens_shares,pass_thru_sec_179_expens_shares,other_expens_shares,itc_rates,itc_nondeprcbl_bases,ptc_rates,sec_199A_adjustments,c_corp_industry_adjustments,pass_thru_industry_adjustments,c_corp_asset_adjustments,pass_thru_asset_adjustments,c_corp_equity_account_category_share_taxable,c_corp_equity_account_category_share_deferred,c_corp_equity_account_category_share_nontaxable,c_corp_debt_account_category_share_taxable,c_corp_debt_account_category_share_deferred,c_corp_debt_account_category_share_nontaxable,pass_thru_equity_account_category_share_taxable,pass_thru_equity_account_category_share_deferred,pass_thru_equity_account_category_share_nontaxable,pass_thru_debt_account_category_share_taxable,pass_thru_debt_account_category_share_deferred,pass_thru_debt_account_category_share_nontaxable,ooh_equity_account_category_share_taxable,ooh_equity_account_category_share_deferred,ooh_equity_account_category_share_nontaxable,ooh_debt_account_category_share_taxable,ooh_debt_account_category_share_deferred,ooh_debt_account_category_share_nontaxable
2024,0.21,0.2760,0.0377,0.01,0,0.2051,0.2760,0.2051,0,0.2760,0.2760,0.2760,0,0.2760,0.2760,0.3094,0.7771,0.9008,0.9008,0.6163,0.0584,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2024,CLaw_2024,CLaw_full,CLaw_2024,CLaw_temp,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.5988,0.0601,0.3411,0.5988,0.0601,0.3411,1,0,0,0.5988,0.0601,0.3411,1,0,0,0.5988,0.0601,0.3411
2025,0.21,0.2744,0.0378,0.01,0,0.2025,0.2744,0.2025,0,0.2744,0.2744,0.2744,0,0.2744,0.2744,0.3085,0.7766,0.9032,0.9032,0.6839,0.0643,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2025,CLaw_2025,CLaw_full,CLaw_2025,CLaw_temp,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6022,0.0601,0.3377,0.6022,0.0601,0.3377,1,0,0,0.6022,0.0601,0.3377,1,0,0,0.6022,0.0601,0.3377
2026,0.21,0.2801,0.0379,0.01,0,0.2041,0.2801,0.2041,0,0.2801,0.2801,0.2801,0,0.2801,0.2801,1,1,0.9026,0.9026,0.9396,0.7689,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2026,CLaw_2026,CLaw_full,CLaw_2026,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.5990,0.0601,0.3409,0.5990,0.0601,0.3409,1,0,0,0.5990,0.0601,0.3409,1,0,0,0.5990,0.0601,0.3409
2027,0.21,0.2811,0.0380,0.01,0,0.2036,0.2811,0.2036,0,0.2811,0.2811,0.2811,0,0.2811,0.2811,1,1,0.9014,0.9014,0.9440,0.7792,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2027,CLaw_full,CLaw_2027,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6018,0.0601,0.3381,0.6018,0.0601,0.3381,1,0,0,0.6018,0.0601,0.3381,1,0,0,0.6018,0.0601,0.3381
2028,0.21,0.2808,0.0380,0.01,0,0.2031,0.2808,0.2031,0,0.2808,0.2808,0.2808,0,0.2808,0.2808,1,1,0.9014,0.9014,0.9455,0.7777,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2028,CLaw_full,CLaw_2028,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6019,0.0601,0.3380,0.6019,0.0601,0.3380,1,0,0,0.6019,0.0601,0.3380,1,0,0,0.6019,0.0601,0.3380
2029,0.21,0.2709,0.0380,0.01,0,0.2006,0.2709,0.2006,0,0.2709,0.2709,0.2709,0,0.2709,0.2709,1,1,0.8990,0.8990,0.9467,0.7764,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2029,CLaw_full,CLaw_2029,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6028,0.0601,0.3371,0.6028,0.0601,0.3371,1,0,0,0.6028,0.0601,0.3371,1,0,0,0.6028,0.0601,0.3371
2030,0.21,0.2709,0.0381,0.01,0,0.2021,0.2709,0.2021,0,0.2709,0.2709,0.2709,0,0.2709,0.2709,1,1,0.8982,0.8982,0.9483,0.7767,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2030,CLaw_full,CLaw_2030,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6039,0.0601,0.3360,0.6039,0.0601,0.3360,1,0,0,0.6039,0.0601,0.3360,1,0,0,0.6039,0.0601,0.3360
2031,0.21,0.2711,0.0382,0.01,0,0.2015,0.2711,0.2015,0,0.2711,0.2711,0.2711,0,0.2711,0.2711,1,1,0.8984,0.8984,0.9501,0.7755,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2031,CLaw_full,CLaw_2031,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6045,0.0601,0.3354,0.6045,0.0601,0.3354,1,0,0,0.6045,0.0601,0.3354,1,0,0,0.6045,0.0601,0.3354
2032,0.21,0.2721,0.0383,0.01,0,0.2039,0.2721,0.2039,0,0.2721,0.2721,0.2721,0,0.2721,0.2721,1,1,0.8992,0.8992,0.9519,0.7758,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2032,CLaw_full,CLaw_2032,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6039,0.0601,0.3360,0.6039,0.0601,0.3360,1,0,0,0.6039,0.0601,0.3360,1,0,0,0.6039,0.0601,0.3360
2033,0.21,0.2720,0.0383,0.01,0,0.2040,0.2720,0.2040,0,0.2720,0.2720,0.2720,0,0.2720,0.2720,1,1,0.9003,0.9003,0.9534,0.7745,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_2033,CLaw_full,CLaw_2033,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,CLaw_perm,0.6047,0.0601,0.3352,0.6047,0.0601,0.3352,1,0,0,0.6047,0.0601,0.3352,1,0,0,0.6047,0.0601,0.3352
