Asset type-specific tax rate adjustments,Asset type-specific adjustment eligibility,Asset type-specific adjustment rate
Default_values,0,0
Computers_and_peripheral_equipment,0,0
Communication_equipment,0,0
Nonelectronic_medical_instruments,0,0
Electronic_medical_instruments,0,0
Nonmedical_instruments,0,0
Photocopy_and_related_equipment,0,0
Office_and_accounting_equipment,0,0
Nuclear_fuel,0,0
Other_fabricated_metal_products,0,0
Steam_engines,0,0
Internal_combustion_engines,0,0
Metalworking_machinery,0,0
"Special_industrial_machinery,_n.e.c.",0,0
General_industrial_equipment,0,0
"Electric_transmission,_distribution_and_industrial_apparatus",0,0
Light_trucks_(including_utility_vehicles),0,0
"Other_trucks,_buses,_and_truck_trailers",0,0
Autos,0,0
Aircraft,0,0
Ships_and_boats,0,0
Railroad_equipment,0,0
Household_furniture,0,0
Other_furniture_and_fixtures,0,0
Other_agricultural_machinery,0,0
Farm_tractors,0,0
Other_construction_machinery,0,0
Construction_tractors,0,0
Mining_and_oilfield_machinery,0,0
Service_industry_machinery,0,0
Household_appliances,0,0
"Other_electrical_equipment,_n.e.c",0,0
Other_nonresidential_equipment,0,0
Office_and_medical_buildings,0,0
Hospitals_and_special_care_facilities,0,0
Warehouses,0,0
Mobile_structures,0,0
Other_commercial_buildings,0,0
Manufacturing_buildings,0,0
Electric_power_structures,0,0
Wind_and_solar_power_structures,0,0
Gas_power_structures,0,0
Petroleum_pipelines,0,0
Communication_structures,0,0
Depreciable_petroleum_and_natural_gas_structures,0,0
Depreciable_mining_structures,0,0
Religious_buildings,0,0
Educational_and_vocational_buildings,0,0
Lodging_buildings,0,0
Amusement_and_recreation_buildings,0,0
Track_replacement,0,0
Other_railroad_structures,0,0
Other_transportation_structures,0,0
Farm_buildings,0,0
Water_supply_and_sewer_and_waste_disposal_facilities,0,0
"Public_safety,_highways,_conservation,_and_development",0,0
Oil_and_gas_exploration_(geological_and_geophysical)--integrated,0,0
Oil_and_gas_exploration_(geological_and_geophysical)--independent,0,0
Oil_and_gas_development_(intangible_drilling_costs)--integrated,0,0
Oil_and_gas_development_(intangible_drilling_costs)--independent,0,0
Other_mineral_exploration--C_corps,0,0
Other_mineral_exploration--pass-throughs,0,0
Other_mineral_development--C_corps,0,0
Other_mineral_development--pass-throughs,0,0
Prepackaged_software,0,0
Custom_software,0,0
Credit-eligible_own_account_software,0,0
Other_own-account_software,0,0
Credit-eligible_research_and_development,0,0
Other_research_and_development,0,0
Theatrical_movies,0,0
Long-lived_television_programs,0,0
Books,0,0
Music,0,0
Other_entertainment_originals,0,0
Reserved_for_non-BEA_intangibles,0,0
Reserved_for_non-BEA_intangibles,0,0
Residential_equipment,0,0
Residential_buildings,0,0
Inventories,0,0
Land,0,0
Reserved_for_non-BEA_natural_resources,0,0
Reserved_for_non-BEA_natural_resources,0,0
Reserved_for_non-BEA_natural_resources,0,0
