"Share of assets in pass-throughs, by industries and asset types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries/Asset types,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Farms,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0.8304,0,0.8304,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.8304,0.8304,0.8058,0.8447,0,0,0
"Forestry,_Fishing,_and_Related_Activites",0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0.7195,0,0.7195,0,0.5795,0,1,0,1,0.5795,0.5795,1,1,1,1,0.5795,0.5795,0.5795,0.5795,0.5795,0,0,0.7195,0.7195,0.7232,0.6922,0,0,0
Oil_and_Gas_Extraction,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0.0839,0,0.0839,0,0.0566,0,1,0,1,0.0566,0.0566,0.0665,0.0663,0.0665,0.0663,0.0566,0.0566,0.0566,0.0566,0.0566,0,0,0.0839,0.0839,0.1755,0.3072,0,0,0
Mining_(Except_Oil_and_Gas),0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0.1329,0,0.1329,0,0.124,0,1,0,1,0.124,0.124,0.1277,0.1265,0.1277,0.1265,0.124,0.124,0.124,0.124,0.124,0,0,0.1329,0.1329,0.1207,0.2,0,0,0
Support_Activities_For_Mining,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0,0.175,0,0.1822,0,1,0,1,0.1822,0.1822,0.1804,0.1787,0.1804,0.1787,0.1822,0.1822,0.1822,0.1822,0.1822,0,0,0.175,0.175,0.165,0.3098,0,0,0
Electric_Power,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.002,0,0.0037,0,1,0,1,0.0037,0.0037,0.0038,0.0025,0.0038,0.0025,0.0037,0.0037,0.0037,0.0037,0.0037,0,0,0.002,0.002,0.0063,0.0245,0,0,0
Natural_Gas_Distribution_and_Transmission,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0.0204,0,0.0204,0,0.0132,0,1,0,1,0.0132,0.0132,0.0159,0.0156,0.0159,0.0156,0.0132,0.0132,0.0132,0.0132,0.0132,0,0,0.0204,0.0204,0.0389,0.0306,0,0,0
Water_and_Sewer_Systems,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0.0146,0,0.0146,0,0.011,0,1,0,1,0.011,0.011,0.0159,0.0096,0.0159,0.0096,0.011,0.011,0.011,0.011,0.011,0,0,0.0146,0.0146,0.137,0.0112,0,0,0
Construction,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0.6122,0,0.6122,0,0.172,0,1,0,1,0.172,0.172,0.3294,0.3284,0.3294,0.3284,0.172,0.172,0.172,0.172,0.172,0,0,0.6122,0.6122,0.4511,0.6346,0,0,0
Food_Manufacturing,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0.1732,0,0.1732,0,0.0245,0,1,0,1,0.0245,0.0245,0.0777,0.0774,0.0777,0.0774,0.0245,0.0245,0.0245,0.0245,0.0245,0,0,0.1732,0.1732,0.2078,0.1531,0,0,0
"Beverage,_and_Tobacco_Product_Manufacturing",0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0,0.1748,0,0.0188,0,1,0,1,0.0188,0.0188,0.0745,0.0744,0.0745,0.0744,0.0188,0.0188,0.0188,0.0188,0.0188,0,0,0.1748,0.1748,0.2051,0.1847,0,0,0
Textile_and_Textile_Product_Mills,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0,0.1703,0,0.1042,0,1,0,1,0.1042,0.1042,0.1289,0.1254,0.1289,0.1254,0.1042,0.1042,0.1042,0.1042,0.1042,0,0,0.1703,0.1703,0.2905,0.2024,0,0,0
