"Asset values (in millions of dollars), by industries and asset types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries/Asset types,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Farms,8,61,21,0,58100,2,0,0,2666,0,42,77,0,634,440,22092,3028,1944,0,0,0,0,72,180938,51390,160,16,0,144,0,3,11424,0,0,0,0,0,0,0,0,0,58861,0,0,0,0,0,0,0,0,0,0,0,0,397652,0,0,0,0,0,0,0,0,0,0,122,24,0,0,0,0,0,0,0,0,0,0,0,0,0,170752,2631821,0,0,0
"Forestry,_Fishing,_and_Related_Activites",127,161,76,2,748,1,2,0,973,0,4,244,399,5735,128,939,856,89,1627,1631,0,0,331,37381,456,4384,321,0,1058,1,10,975,5675,3,7919,406,2666,5030,0,13,0,281,0,1,0,0,0,0,0,0,0,0,0,1084,299,2733,6285,0,0,0,0,0,0,0,0,160,257,0,0,0,0,0,0,0,0,0,0,0,0,0,6768,21399,0,0,0
Oil_and_Gas_Extraction,277,267,0,1,404,43,1,0,770,0,9,3345,0,2220,1024,897,67,269,822,11830,0,0,556,0,7,651,31,38611,594,0,14,1043,20661,0,929,524,162,119782,0,3279,0,77,64551,36397,0,87433,2822,0,0,0,126,0,0,0,0,756,2211,11663,17168,336553,495376,12442,1824,11791,1729,383,645,28,23,17013,13954,0,0,0,0,0,0,0,0,0,1824,282577,0,0,0
Mining_(Except_Oil_and_Gas),118,344,0,5,377,11,0,0,1139,165,21,298,23,7568,1352,1198,1083,176,98,779,379,0,446,0,49,12809,930,21259,305,4,47,1256,3922,0,1614,656,385,55074,0,1076,0,0,1613,683,8,40,54036,0,0,0,0,24,5,217,0,1797,3602,1,2,32,47,49462,7252,46873,6873,104,167,0,0,2332,1924,0,0,0,0,0,0,0,0,0,12088,100478,0,0,0
Support_Activities_For_Mining,201,407,0,13,330,57,4,0,783,0,304,126,0,3128,5841,2143,3209,205,67,18488,0,0,557,0,1,2539,185,36287,1541,0,4,2099,16668,0,1060,261,1559,28807,0,266,0,251,4268,2344,0,26764,962,0,0,0,0,0,0,299,0,274,337,0,0,0,0,0,0,0,0,209,415,44,36,1571,1296,0,0,0,0,0,0,0,0,0,4781,12385,0,0,0
Electric_Power,4368,9336,3,12,13888,167,136,4490,2422,108801,12501,122,56,5395,613116,3300,1757,258,1901,1141,70,0,1534,0,8,805,60,2449,1178,0,12813,1863,40242,0,1776,0,1966,100790,1315517,200056,262627,39939,1253,331,976,356,1025,0,0,0,0,0,0,52,0,68,1772,0,0,0,0,0,0,0,0,8391,12767,320,404,2001,2522,0,0,0,0,0,0,0,0,0,17611,86811,0,0,0
Natural_Gas_Distribution,1251,3016,0,0,10122,128,4,0,2618,9050,75,54,128,8517,34698,1472,364,110,0,1219,0,0,459,0,1,527,28,25808,258,0,5,7218,7754,0,2339,0,530,51,0,24776,0,4630,437286,47711,0,509,0,0,0,0,0,0,0,0,0,0,1005,0,0,0,0,0,0,0,0,2303,3228,217,181,390,323,0,0,0,0,0,0,0,0,0,4975,8683,0,0,0
"Water,_Sewage_and_Other_Systems",511,563,11,0,4150,136,12,0,356,656,2,37,884,675,439,375,311,28,13,0,0,0,48,0,1,624,40,4,2011,0,2,2844,4187,0,58,4,417,895,0,5542,0,1616,104,28,0,0,0,0,0,0,0,0,0,1437,0,59776,1479,0,0,0,0,0,0,0,0,473,699,4,5,58,78,0,0,0,0,0,0,0,0,0,448,9654,0,0,0
Construction,2220,2071,50,19,827,591,125,0,3810,14,638,3332,237,12018,5187,64344,22777,5220,831,3019,0,0,3969,0,784,128642,10038,2076,2803,126,2678,12777,50309,2,25786,1863,6384,22494,0,11425,0,7298,547,15,1119,246,176,8,35,3234,601,0,0,144,6585,3303,2556,0,0,0,0,0,0,0,0,2172,3379,586,413,6187,4368,0,0,0,0,0,0,0,0,0,104307,357899,0,0,0
Food_Manufacturing,1363,941,11,969,1757,116,19,0,17177,0,96,1238,42103,97098,3375,1903,1035,158,596,146,218,0,1439,0,3964,321,13,0,1046,10,107,8941,7927,0,6328,23,1299,191619,0,27,0,18,0,0,6,105,23,0,0,0,52,0,0,146,281,134,189,0,0,0,0,0,0,0,0,1719,2746,80,36,20244,9183,0,0,0,0,0,0,0,0,0,94049,15122,0,0,0
