Detailed industry weights; weights sum to 1 for each standard industry category.,,
detailed_industry,standard_industry,detailed_industry_weights
Farms,Farms,1
"Forestry,_Fishing,_and_Related_Activites","Forestry,_Fishing,_and_Related_Activites",1
Oil_and_Gas_Extraction,Oil_and_Gas_Extraction,1
Mining_(Except_Oil_and_Gas),Mining_(Except_Oil_and_Gas),1
Support_Activities_For_Mining,Support_Activities_For_Mining,1
Hydroelectric_Power_Generation,Utilities,0.006
Nuclear_Electric_Power_Generation,Utilities,0.05
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,0.106
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,0.024
Other_Electric_Power_Generation,Utilities,0.02
Electirc_Power_Transmission_and_Distribution,Utilities,0.594
Natural_Gas_Distribution_and_Transmission,Utilities,0.174
Water_and_Sewer_Systems,Utilities,0.026
Construction,Construction,1
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing","Food,_Beverage,_and_Tobacco_Product_Manufacturing",0.105
Other_Food_Products_Manufacturing,"Food,_Beverage,_and_Tobacco_Product_Manufacturing",0.712
Beverage_and_Tobacco_Products_Manufacturing,"Food,_Beverage,_and_Tobacco_Product_Manufacturing",0.183
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile_and_Textile_Product_Mills,0.314
Other_Textile_and_Textile_Product_Mills,Textile_and_Textile_Product_Mills,0.686
Apparel_Manufacturing,"Apparel,_Leather,_and_Allied_Products_Manufacturing",0.792
Leather_and_Allied_Products_Manufacturing,"Apparel,_Leather,_and_Allied_Products_Manufacturing",0.208
Wood_Product_Manufacturing,Wood_Product_Manufacturing,1
Paper_Manufacturing,Paper_Manufacturing,1
Printing_and_Related_Support_Activities,Printing_and_Related_Support_Activities,1
Petroleum_Refining,Petroleum_and_Coal_Products_Manufacturing,0.93
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum_and_Coal_Products_Manufacturing,0.07
Chemical_Manufacturing,Chemical_Manufacturing,1
Plastics_and_Rubber_Products_Manufacturing,Plastics_and_Rubber_Products_Manufacturing,1
Glass_Products_Manufacturing,Nonmetallic_Mineral_Product_Manufacturing,0.278
Cement_Manufacturing,Nonmetallic_Mineral_Product_Manufacturing,0.137
Other_Nonmetalic_Mineral_Products_Manufacturing,Nonmetallic_Mineral_Product_Manufacturing,0.585
Primary_Ferrous_Metal_Manufacturing,Primary_Metal_Manufacturing,0.613
Primary_Nonferrous_Metal_Manufacturing,Primary_Metal_Manufacturing,0.387
Fabricated_Metal_Product_Manufacturing,Fabricated_Metal_Product_Manufacturing,1
Machinery_Manufacturing,Machinery_Manufacturing,1
Computer_and_Electronic_Product_Manufacturing,Computer_and_Electronic_Product_Manufacturing,1
"Electrical_Equipment,_Appliances,_and_Components_Manufacturing","Electrical_Equipment,_Appliances,_and_Components_Manufacturing",1
Motor_Vehicle_and_Parts_Manufacturing,Motor_Vehicle_and_Parts_Manufacturing,1
Ships_and_Boats_Manufacturing,Other_Transportation_Equipment_Manufacturing,0.141
Other_Transportation_Equipment_Manufacturing,Other_Transportation_Equipment_Manufacturing,0.859
Furniture_and_Related_Products_Manufacturing,Furniture_and_Related_Products_Manufacturing,1
Medical_and_Dental_Supplies_Manufacturing,Miscellaneous_Manufacturing,0.594
Other_Miscellaneous_Manufacturing,Miscellaneous_Manufacturing,0.406
Wholesale_Trade,Wholesale_Trade,1
Gas_Stations,Retail_Trade,0.096
Other_Retail_Trade,Retail_Trade,0.904
Air_Transportation,Air_Transportation,1
Rail_Transportation,Rail_Transportation,1
Water_Transportation,Water_Transportation,1
Truck_Transportation,Truck_Transportation,1
Transit_and_Ground_Passenger_Transportation,Transit_and_Ground_Passenger_Transportation,1
Pipeline_Transportation,Pipeline_Transportation,1
Other_Transportation_and_Support_Activities,Other_Transportation_and_Support_Activities,1
Warehousing_and_Storage,Warehousing_and_Storage,1
Publishing_Industries_(Except_Internet),Publishing_Industries_(Except_Internet),1
Movie_Theaters,Motion_Picture_and_Sound_Recording_Industries,0.156
Other_Motion_Picture_and_Sound_Recording,Motion_Picture_and_Sound_Recording_Industries,0.844
Broadcasting_(Except_Internet)_and_Telecommunications,Broadcasting_(Except_Internet)_and_Telecommunications,0.098
Telephone_Communication,Broadcasting_(Except_Internet)_and_Telecommunications,0.41
Cable_Television,Broadcasting_(Except_Internet)_and_Telecommunications,0.128
Other_Telecommunication,Broadcasting_(Except_Internet)_and_Telecommunications,0.364
Information_and_Data_Processing,"Data_Processing,_Hosting,_and_Other_Information_Services",1
Credit_Intermediation_and_Related_Activities,Credit_Intermediation_and_Related_Activities,1
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities","Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",1
Insurance_Carriers_and_Related_Activities,Insurance_Carriers_and_Related_Activities,1
"Funds,_Trusts,_and_Other_Financial_Vehicles_","Funds,_Trusts,_and_Other_Financial_Vehicles_",1
Real_Estate,Real_Estate,1
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),Rental_and_Leasing_(Including_Nonfinancial_Intangibles),1
Legal_Services,"Professional,_Scientific,_and_Technical_Services",0.161
Computer_Systems_Design_and_Related_Services,"Professional,_Scientific,_and_Technical_Services",0.24
"Other_Professional,_Scientific,_and_Technical_Services","Professional,_Scientific,_and_Technical_Services",0.599
Management_Of_Companies_and_Enterprises,Management_Of_Companies_and_Enterprises,1
Administrative_and_Support_Services,Administrative_and_Support_Services,1
Waste_Management_and_Remediation_Services,Waste_Management_and_Remediation_Services,1
Educational_Services,Educational_Services,1
Ambulatory_Health_Care_Services,Ambulatory_Health_Care_Services,1
Hospitals,Hospitals,1
Nursing_and_Residential_Care_Facilities,Nursing_and_Residential_Care_Facilities,1
Social_Assistance,Social_Assistance,1
"Independent_Artists,_Writers,_and_Performers","Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities",0.143
"Other_Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities","Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities",0.857
Amusement_Parks,"Amusement,_Gambling,_and_Recreation_Services",0.141
Gambling_and_Bowling,"Amusement,_Gambling,_and_Recreation_Services",0.23
Other_Recreation_Services,"Amusement,_Gambling,_and_Recreation_Services",0.629
Accomodation,Accomodation,1
Food_Services_and_Drinking_Places,Food_Services_and_Drinking_Places,1
Other_Services_(Except_Public_Administration),Other_Services_(Except_Public_Administration),1
Owner-occupied_Housing,Owner-occupied_Housing,1
