"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2025 - 2035 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
comprehensive,Nonresidential equipment,c_corp,new_equity,2025,6.45,5.25,1.19,18.52,5.97,0.48,7.39,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2026,6.62,5.23,1.39,20.97,5.97,0.65,9.84,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2027,6.86,5.24,1.62,23.67,5.97,0.89,13.0,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2028,6.87,5.23,1.64,23.81,5.97,0.9,13.1,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2029,6.89,5.24,1.65,23.9,5.97,0.92,13.36,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2030,6.92,5.24,1.68,24.25,5.97,0.95,13.68,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2031,6.92,5.23,1.69,24.43,5.97,0.95,13.7,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2032,6.92,5.23,1.69,24.42,5.97,0.95,13.71,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2033,6.92,5.22,1.7,24.51,5.97,0.95,13.71,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2034,6.92,5.22,1.7,24.5,5.97,0.95,13.71,1945104.05
comprehensive,Nonresidential equipment,c_corp,new_equity,2035,6.92,5.22,1.7,24.61,5.97,0.95,13.71,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2025,6.56,5.46,1.1,16.75,5.97,0.59,9.05,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2026,6.74,5.46,1.28,19.06,5.97,0.77,11.43,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2027,6.98,5.46,1.52,21.83,5.97,1.01,14.5,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2028,6.99,5.46,1.53,21.87,5.97,1.02,14.59,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2029,7.01,5.46,1.55,22.12,5.97,1.04,14.85,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2030,7.04,5.46,1.58,22.43,5.97,1.07,15.16,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2031,7.04,5.46,1.58,22.49,5.97,1.07,15.18,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2032,7.04,5.45,1.59,22.55,5.97,1.07,15.19,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2033,7.04,5.45,1.59,22.58,5.97,1.07,15.19,1945104.05
comprehensive,Nonresidential equipment,c_corp,retained_earnings,2034,7.04,5.45,1.59,22.6,5.97,1.07,15.19,1945104.05
