"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2024 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,19.33,2.67,16.46,9.97,-2.1,7.82,17.87,1.9,15.11
Communication equipment,15.23,-1.98,12.14,5.98,-9.69,3.04,14.53,-2.59,11.46
Nonelectronic medical instruments,13.89,-2.85,7.58,4.23,-12.45,0.02,10.55,-5.04,5.26
Electronic medical instruments,15.5,-1.25,10.26,5.12,-10.83,1.47,12.1,-3.56,7.61
Nonmedical instruments,11.68,-11.06,7.95,5.17,-11.4,2.84,9.36,-11.17,6.17
Photocopy and related equipment,13.48,-7.54,9.79,6.1,-9.3,3.43,12.15,-7.85,8.64
Office and accounting equipment,19.51,3.77,15.56,12.36,1.42,10.01,17.94,3.33,14.39
Nuclear fuel,34.36,24.92,32.35,31.18,25.72,30.0,34.35,24.93,32.34
Other fabricated metal products,12.45,-7.51,9.1,3.98,-13.1,1.29,10.97,-8.42,7.74
Steam engines,24.48,9.89,21.46,12.83,-1.48,10.06,24.32,9.75,21.31
Internal combustion engines,37.05,32.33,36.06,6.88,-7.21,4.71,34.46,29.94,33.53
Metalworking machinery,7.67,-18.76,3.52,1.52,-18.05,-1.14,6.67,-18.66,2.78
"Special industrial machinery, n.e.c.",9.49,-14.71,5.62,2.63,-14.97,-0.49,8.65,-14.74,4.86
General industrial equipment,12.23,-7.98,9.11,3.65,-13.53,1.01,11.01,-8.76,7.96
"Electric transmission, distribution and industrial apparatus",23.29,9.28,20.5,5.13,-9.84,2.83,22.77,8.88,20.02
Light trucks (including utility vehicles),16.41,0.15,11.75,6.37,-7.79,3.91,13.2,-1.41,9.49
"Other trucks, buses, and truck trailers",16.11,-0.4,13.07,7.31,-7.27,5.14,12.99,-2.45,10.34
Autos,16.69,0.52,11.3,7.79,-5.62,5.04,14.64,-0.3,10.05
Aircraft,13.95,-3.49,9.57,4.77,-12.18,1.16,12.64,-4.52,8.42
Ships and boats,15.26,-1.26,12.7,6.41,-9.85,4.28,12.87,-3.27,10.47
Railroad equipment,14.09,-3.24,9.21,5.78,-11.09,1.8,13.17,-3.94,8.43
Household furniture,15.24,-1.68,10.44,6.62,-8.88,2.18,12.32,-4.14,7.64
Other furniture and fixtures,15.5,-1.18,11.63,7.05,-8.07,3.91,13.07,-2.97,9.46
Other agricultural machinery,13.79,-3.49,11.08,5.61,-10.51,3.49,7.39,-8.72,5.18
Farm tractors,14.83,-2.06,11.98,6.09,-9.58,3.92,8.94,-6.72,6.61
Other construction machinery,15.18,-1.37,12.34,4.19,-11.65,1.94,10.45,-5.24,7.95
Construction tractors,15.49,-0.99,12.44,4.65,-10.64,2.39,11.03,-4.35,8.42
Mining and oilfield machinery,19.88,8.8,18.4,8.74,-5.31,7.23,18.55,7.46,17.11
Service industry machinery,17.79,1.51,13.83,6.3,-8.76,2.18,14.82,-1.47,10.73
Household appliances,15.97,-0.67,12.18,7.47,-7.54,4.57,12.29,-3.3,8.97
"Other electrical equipment, n.e.c",18.22,2.79,14.59,5.34,-9.14,2.6,16.74,1.72,13.29
Other nonresidential equipment,15.09,-1.96,11.02,6.03,-9.37,3.2,12.85,-3.37,9.19
Office and medical buildings,28.02,14.65,24.69,29.11,18.68,27.13,28.36,15.6,25.39
Hospitals and special care facilities,27.8,13.38,19.06,27.79,15.73,24.45,27.79,13.82,20.85
Warehouses,27.76,13.48,25.39,28.13,16.53,26.28,27.89,14.51,25.7
Mobile structures,13.4,-4.11,10.21,4.48,-12.74,1.62,9.25,-7.89,6.25
Other commercial buildings,27.99,14.4,24.85,28.76,18.32,26.56,28.24,15.59,25.4
Manufacturing buildings,27.88,14.04,25.7,30.26,21.42,28.89,28.31,15.35,26.27
Electric power structures,23.02,6.6,19.69,10.27,-5.0,7.94,22.88,6.51,19.57
Wind and solar power structures,-85.93,-261.2,-107.21,-134.37,-647.24,-162.07,-92.63,-285.19,-114.32
Gas power structures,20.85,5.12,18.01,9.33,-7.11,7.3,20.36,4.78,17.58
Petroleum pipelines,15.92,-0.89,13.36,6.72,-10.96,4.49,15.07,-1.64,12.57
Communication structures,14.34,-3.35,11.55,6.42,-11.36,3.88,14.2,-3.48,11.42
Depreciable petroleum and natural gas structures,14.44,-2.79,12.36,6.23,-10.25,4.48,13.71,-3.37,11.68
Depreciable mining structures,11.47,-7.6,9.46,2.06,-18.13,0.23,10.3,-8.73,8.33
Religious buildings,27.91,13.59,25.15,27.95,16.09,25.9,27.93,15.02,25.6
Educational and vocational buildings,27.83,13.45,25.19,27.84,15.85,25.84,27.84,14.49,25.49
Lodging buildings,29.46,16.62,25.0,30.3,21.07,27.74,29.86,18.4,26.25
Amusement and recreation buildings,29.2,16.15,26.05,30.28,21.09,28.29,29.62,17.89,26.9
Track replacement,12.9,-4.98,10.22,3.91,-14.4,1.5,12.79,-5.08,10.12
Other railroad structures,15.66,-1.81,12.92,8.31,-9.25,5.42,15.38,-2.1,12.63
Other transportation structures,27.9,14.12,24.95,26.14,14.86,24.42,27.59,14.21,24.86
Farm buildings,16.33,-0.81,13.6,10.03,-6.68,7.74,11.31,-5.31,8.96
Water supply and sewer and waste disposal facilities,21.0,4.14,17.14,8.61,-8.66,5.34,18.72,2.21,15.05
"Public safety, highways, conservation, and development",15.34,-2.28,11.94,7.97,-9.76,5.02,12.88,-4.48,9.68
Oil and gas exploration (geological and geophysical)--integrated,21.34,5.8,19.46,NA,NA,NA,21.34,5.8,19.46
Oil and gas exploration (geological and geophysical)--independent,14.42,-3.01,12.32,6.57,-10.15,4.78,13.75,-3.55,11.68
Oil and gas development (intangible drilling costs)--integrated,13.29,-4.27,11.17,NA,NA,NA,13.29,-4.27,11.17
Oil and gas development (intangible drilling costs)--independent,10.62,-7.54,8.43,-0.0,-18.73,-1.99,9.98,-8.14,7.81
Other mineral exploration--C corps,20.21,3.09,18.4,NA,NA,NA,20.21,3.09,18.4
Other mineral exploration--pass-throughs,NA,NA,NA,16.85,1.53,15.41,16.85,1.53,15.41
Other mineral development--C corps,10.51,-8.75,8.48,NA,NA,NA,10.51,-8.75,8.48
Other mineral development--pass-throughs,NA,NA,NA,-3.05,-24.42,-5.01,-3.05,-24.42,-5.01
