"Values by Industry and Asset Aggregate, 2023 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Farms,3.07,3.48,NA,NA,8.75,29.99,12.06,28.64,23.63
"Forestry, Fishing, and Related Activities",5.5,21.96,NA,NA,12.94,30.85,12.75,29.62,15.98
Oil and Gas Extraction,12.45,11.72,NA,-7.68,16.63,31.22,11.67,28.61,11.85
Mining (Except Oil and Gas),12.09,17.62,NA,-8.63,17.7,31.06,17.64,28.38,21.37
Support Activities for Mining,10.0,17.6,NA,-13.75,15.55,30.52,14.16,27.78,14.93
Utilities,25.84,19.42,NA,-18.51,33.27,30.04,21.27,26.83,21.39
Construction,4.53,21.65,NA,-11.19,13.56,30.56,14.34,29.0,21.02
"Food, Beverage, and Tobacco Product Manufacturing",9.44,28.58,NA,-2.88,17.52,30.65,20.9,27.83,21.18
Textile and Textile Product Mills,10.0,29.0,NA,-1.09,17.76,30.87,23.63,28.5,23.73
"Apparel, Leather, and Allied Products Manufacturing",6.23,28.81,NA,-3.69,15.84,30.32,24.45,28.5,24.63
Wood Product Manufacturing,8.62,28.64,NA,-4.57,15.93,30.33,22.5,28.2,23.34
Paper Manufacturing,11.13,28.43,NA,-2.16,17.31,30.82,19.55,27.96,20.05
Printing and Related Support Activities,4.72,27.11,NA,-15.17,11.1,28.98,16.43,24.55,16.52
Petroleum and Coal Products Manufacturing,12.5,27.63,NA,-0.23,17.07,31.28,20.52,28.42,21.89
Chemical Manufacturing,11.19,28.53,NA,1.08,17.45,31.0,11.67,28.06,12.55
Plastics and Rubber Products Manufacturing,8.34,28.33,NA,-4.66,16.25,30.32,18.83,27.5,19.2
Nonmetallic Mineral Product Manufacturing,11.53,29.03,NA,-0.78,18.49,31.05,19.09,28.37,21.64
Primary Metal Manufacturing,9.86,28.41,NA,-3.02,16.44,30.66,20.02,27.72,20.47
Fabricated Metal Product Manufacturing,7.74,29.23,NA,-2.12,17.05,30.66,19.55,28.51,19.99
Machinery Manufacturing,10.72,28.15,NA,-2.28,16.44,30.35,18.15,27.69,18.61
Computer and Electronic Product Manufacturing,-59.1,12.83,NA,-8.3,14.23,30.11,-2.85,27.15,-0.94
"Electrical Equipment, Appliances, and Components Manufacturing",11.86,27.98,NA,-2.34,16.6,30.35,19.13,27.72,20.14
Motor Vehicle and Parts Manufacturing,11.56,28.19,NA,-9.34,16.61,30.62,16.13,27.46,16.46
Other Transportation Equipment Manufacturing,11.27,28.2,NA,-3.12,14.54,30.78,19.26,27.68,19.49
Furniture and Related Products Manufacturing,8.21,28.68,NA,-4.03,16.59,30.36,22.36,28.11,22.81
Miscellaneous Manufacturing,10.38,28.61,NA,-2.63,17.35,30.7,18.45,28.09,19.19
Wholesale Trade,11.11,28.0,NA,-12.04,15.63,30.94,26.37,28.69,26.72
Retail Trade,9.62,26.22,NA,-14.66,15.96,30.37,24.94,27.67,25.76
Air Transportation,9.42,24.95,NA,-26.22,15.65,30.24,14.04,27.05,14.26
Rail Transportation,10.75,10.39,NA,-15.88,17.29,30.95,10.54,28.04,11.89
Water Transportation,9.71,23.39,NA,-15.38,16.14,30.59,12.19,27.73,12.79
Truck Transportation,6.93,27.32,NA,-20.11,15.56,30.12,11.69,27.75,14.87
Transit and Ground Passenger Transportation,6.31,22.58,NA,-15.86,14.58,30.01,16.5,27.02,17.18
Pipeline Transportation,13.61,8.32,NA,-18.72,16.71,30.74,9.22,27.93,9.43
Other Transportation and Support Activities,9.13,15.43,NA,-31.48,15.14,30.09,13.01,26.98,15.01
Warehousing and Storage,10.03,25.86,NA,-23.87,15.63,30.65,23.25,28.24,25.51
Publishing Industries (Except Internet),11.77,26.99,NA,-15.97,22.2,30.14,6.93,27.05,7.84
Motion Picture and Sound Recording Industries,8.62,26.16,NA,-34.74,11.68,29.6,15.21,25.96,15.9
Broadcasting (Except Internet) and Telecommunications,12.6,13.29,NA,-11.65,13.71,30.74,12.67,27.68,13.14
"Data Processing, Hosting, and Other Information Services",15.01,24.31,NA,-13.22,16.17,31.36,12.27,28.52,15.35
Credit Intermediation and Related Activities,6.36,23.41,NA,1.36,10.97,28.28,14.34,23.82,14.87
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",7.28,25.27,NA,5.12,12.28,29.13,20.06,25.9,20.47
Insurance Carriers and Related Activities,11.55,27.18,NA,10.35,15.98,30.55,22.33,27.47,22.54
"Funds, Trusts, and Other Financial Vehicles",6.95,26.33,NA,8.89,10.42,29.43,25.58,26.53,26.01
Real Estate,4.99,26.91,25.29,-18.25,14.16,30.07,25.38,28.28,26.05
Rental and Leasing (Including Nonfinancial Intangibles),8.27,26.14,NA,-26.27,14.85,30.0,10.15,27.09,11.28
"Professional, Scientific, and Technical Services",7.97,27.87,NA,-13.82,16.45,30.75,13.23,28.93,14.62
Management of Companies and Enterprises,7.5,24.04,NA,3.1,10.48,28.51,20.25,24.26,21.73
Administrative and Support Services,6.26,25.35,NA,13.9,13.98,30.33,15.83,28.23,17.3
Waste Management and Remediation Services,7.97,12.99,NA,8.77,14.41,29.95,12.11,27.1,16.2
Educational Services,7.4,26.68,NA,-27.59,14.32,30.48,24.67,28.23,24.73
Ambulatory Health Care Services,6.04,27.09,NA,-14.84,14.79,30.15,18.53,28.13,18.67
