"Total EMTRs by Industry, Legal Form, and Financing Source, 2024 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Farms,15.91,-2.68,13.73,9.11,-8.62,6.53,10.43,-7.68,7.89
"Forestry, Fishing, and Related Activities",18.79,1.6,16.32,14.28,-0.36,12.28,15.41,0.15,13.3
Oil and Gas Extraction,14.87,-3.77,12.45,8.66,-8.13,7.81,14.43,-3.89,12.15
Mining (Except Oil and Gas),15.83,-3.93,13.93,9.76,-8.93,8.83,15.02,-4.29,13.28
Support Activities for Mining,19.86,2.85,18.51,15.59,1.37,14.67,19.14,2.64,17.86
Electric Power,18.43,-5.54,13.25,15.74,-3.57,14.95,18.42,-5.54,13.25
Natural Gas Distribution,22.23,1.73,19.75,19.69,3.8,18.78,22.18,1.75,19.73
"Water, Sewage and Other Systems",24.3,4.91,20.69,23.29,9.32,21.8,24.27,4.97,20.71
Construction,21.45,5.1,19.2,14.7,0.14,13.22,17.65,2.73,15.89
Food Manufacturing,24.03,8.28,21.7,22.7,11.03,21.79,23.78,8.56,21.72
Beverage and Tobacco Products Manufacturing,24.32,8.75,19.0,22.98,11.51,22.08,23.96,8.9,19.63
Textile and Textile Product Mills,25.84,10.66,24.3,25.68,14.86,25.08,25.81,11.17,24.45
"Apparel, Leather, and Allied Products Manufacturing",26.07,10.33,23.01,27.06,16.51,26.11,26.48,11.73,24.21
Wood Product Manufacturing,25.78,11.19,23.86,24.51,13.8,23.8,25.37,11.67,23.84
Paper Manufacturing,22.92,6.66,20.23,21.26,9.03,20.26,22.7,6.81,20.24
Printing and Related Support Activities,24.05,7.84,19.27,22.9,11.13,21.85,23.51,8.41,20.33
Petroleum and Coal Products Manufacturing,23.5,7.01,21.49,22.8,10.01,21.86,23.48,7.05,21.5
Chemical Manufacturing,15.67,-7.93,12.94,17.02,0.01,15.98,15.71,-7.81,13.02
Plastics and Rubber Products Manufacturing,23.0,6.56,20.01,21.62,9.47,20.94,22.69,6.77,20.2
Nonmetallic Mineral Product Manufacturing,22.05,4.14,19.58,21.33,8.37,20.04,21.95,4.56,19.64
Primary Metal Manufacturing,23.32,7.23,20.76,21.64,9.33,20.63,23.1,7.37,20.75
Fabricated Metal Product Manufacturing,23.02,6.64,20.21,21.24,9.03,20.49,22.33,7.04,20.31
