"Weights (Asset Values) by Asset Type, Legal Form, and Financing Source, 2021 (Millions of Dollars)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,121079.31,61499.65,182578.96,34025.48,11645.86,45671.33,155104.78,73145.51,228250.29
Communication equipment,328026.63,153920.36,481946.99,34976.24,16181.78,51158.02,363002.87,170102.14,533105.01
Nonelectronic medical instruments,43155.55,30631.17,73786.72,31573.23,10762.04,42335.27,74728.78,41393.21,116121.99
Electronic medical instruments,25371.23,15013.23,40384.46,18435.71,5312.99,23748.69,43806.94,20326.22,64133.16
Nonmedical instruments,90048.9,37946.8,127995.7,56620.59,18743.83,75364.41,146669.48,56690.63,203360.11
Photocopy and related equipment,18334.63,8919.26,27253.88,5345.68,1924.66,7270.34,23680.3,10843.92,34524.23
Office and accounting equipment,4867.68,3648.46,8516.14,1697.54,700.31,2397.85,6565.22,4348.77,10913.99
Nuclear fuel,3778.78,1930.86,5709.64,9.96,18.47,28.44,3788.74,1949.33,5738.07
Other fabricated metal products,89846.7,39093.85,128940.55,24219.0,6866.31,31085.31,114065.7,45960.16,160025.86
Steam engines,70086.45,36784.79,106871.24,971.38,688.16,1659.54,71057.83,37472.95,108530.78
Internal combustion engines,8700.04,4084.98,12785.02,1240.69,420.41,1661.1,9940.73,4505.39,14446.12
Metalworking machinery,163786.9,68622.18,232409.09,39656.55,7238.05,46894.6,203443.45,75860.24,279303.69
"Special industrial machinery, n.e.c.",198757.12,87036.53,285793.65,37426.29,10604.8,48031.09,236183.41,97641.33,333824.74
General industrial equipment,392428.5,153297.92,545726.43,78991.11,23008.77,101999.88,471419.61,176306.69,647726.3
"Electric transmission, distribution and industrial apparatus",298023.52,146591.89,444615.41,12393.96,4902.19,17296.15,310417.47,151494.09,461911.56
Light trucks (including utility vehicles),144733.96,149416.09,294150.04,76595.4,27758.72,104354.13,221329.36,177174.81,398504.17
"Other trucks, buses, and truck trailers",80868.8,48821.09,129689.9,57383.71,25944.68,83328.39,138252.51,74765.77,213018.28
Autos,64671.43,83809.0,148480.43,22922.98,9871.96,32794.94,87594.41,93680.96,181275.37
Aircraft,214685.32,154581.43,369266.75,37945.66,18855.41,56801.07,252630.98,173436.84,426067.82
Ships and boats,50327.58,24531.58,74859.15,12222.36,4935.22,17157.58,62549.94,29466.8,92016.73
Railroad equipment,75353.7,72066.26,147419.96,10071.62,5819.03,15890.64,85425.32,77885.29,163310.6
Household furniture,5387.52,4812.38,10199.9,4395.3,4466.91,8862.2,9782.81,9279.29,19062.1
Other furniture and fixtures,117620.6,77718.92,195339.52,63211.91,27424.88,90636.8,180832.52,105143.8,285976.32
Other agricultural machinery,22287.57,8686.67,30974.24,89629.32,32289.98,121919.3,111916.89,40976.66,152893.55
Farm tractors,16786.43,7575.0,24361.43,38964.04,15662.47,54626.51,55750.47,23237.47,78987.94
Other construction machinery,76593.44,37120.24,113713.67,68614.02,16918.99,85533.01,145207.45,54039.23,199246.68
Construction tractors,13361.48,7550.91,20912.39,10662.55,2729.3,13391.85,24024.03,10280.2,34304.24
Mining and oilfield machinery,87354.39,31550.3,118904.7,11635.12,5056.35,16691.46,98989.51,36606.65,135596.16
Service industry machinery,72743.48,43270.54,116014.02,37322.28,18376.49,55698.77,110065.76,61647.03,171712.79
Household appliances,1941.31,1230.07,3171.38,1703.02,816.32,2519.34,3644.33,2046.39,5690.73
"Other electrical equipment, n.e.c",13477.01,9710.54,23187.55,2444.89,999.12,3444.0,15921.9,10709.66,26631.56
Other nonresidential equipment,141089.28,98247.27,239336.55,58521.74,25773.21,84294.96,199611.02,124020.48,323631.51
Office and medical buildings,723967.54,598189.65,1322157.19,386599.48,180093.19,566692.68,1110567.03,778282.84,1888849.87
Hospitals and special care facilities,54424.22,61585.57,116009.79,49305.42,26601.8,75907.22,103729.65,88187.37,191917.01
Warehouses,226976.41,99619.11,326595.51,108971.62,42847.53,151819.15,335948.03,142466.63,478414.66
Mobile structures,3132.31,1491.69,4624.01,2978.76,1116.56,4095.32,6111.07,2608.25,8719.32
Other commercial buildings,644463.92,391187.53,1035651.45,374613.63,157004.81,531618.44,1019077.55,548192.34,1567269.89
Manufacturing buildings,921088.22,376488.57,1297576.79,220697.61,73644.59,294342.21,1141785.83,450133.16,1591918.99
Electric power structures,753750.5,383655.5,1137406.0,7984.73,4974.0,12958.73,761735.23,388629.5,1150364.73
Wind and solar power structures,109462.42,50779.91,160242.33,21302.96,9824.53,31127.49,130765.38,60604.44,191369.82
Gas power structures,247186.22,109571.45,356757.67,10062.32,6936.1,16998.42,257248.55,116507.55,373756.1
Petroleum pipelines,98248.95,33994.35,132243.3,12067.89,8753.15,20821.03,110316.83,42747.5,153064.33
Communication structures,440612.5,175168.82,615781.32,7837.33,7283.24,15120.57,448449.83,182452.06,630901.89
Depreciable petroleum and natural gas structures,282132.0,67136.41,349268.41,28780.91,9606.12,38387.03,310912.91,76742.53,387655.44
Depreciable mining structures,43803.74,11428.04,55231.79,5372.06,2533.98,7906.04,49175.8,13962.03,63137.83
Religious buildings,29593.21,14715.05,44308.27,59231.81,30471.11,89702.92,88825.03,45186.16,134011.19
Educational and vocational buildings,40271.69,18646.62,58918.31,40113.09,12566.46,52679.55,80384.78,31213.09,111597.86
Lodging buildings,106991.57,144808.16,251799.74,170117.7,170732.28,340849.98,277109.27,315540.45,592649.72
Amusement and recreation buildings,100078.47,71220.62,171299.1,64755.46,50299.8,115055.25,164833.93,121520.42,286354.35
Track replacement,159273.68,54405.6,213679.28,6529.47,2089.02,8618.49,165803.15,56494.62,222297.77
Other railroad structures,123772.34,47485.28,171257.62,6938.09,3424.0,10362.09,130710.43,50909.28,181619.71
Other transportation structures,37706.36,21286.84,58993.2,8632.5,6251.74,14884.25,46338.87,27538.58,73877.45
