"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2024 - 2034 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
uniformity,Nonresidential equipment,c_corp,new_equity,2024,5.87,4.85,1.02,17.39,5.56,0.31,5.29,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2025,6.02,4.86,1.17,19.4,5.56,0.46,7.64,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2026,6.17,4.85,1.32,21.4,5.56,0.61,9.88,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2027,6.37,4.86,1.51,23.76,5.56,0.81,12.69,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2028,6.38,4.86,1.52,23.86,5.56,0.82,12.78,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2029,6.4,4.86,1.54,24.0,5.56,0.83,13.01,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2030,6.42,4.85,1.57,24.38,5.56,0.86,13.34,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2031,6.42,4.85,1.57,24.45,5.56,0.86,13.36,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2032,6.42,4.85,1.57,24.51,5.56,0.86,13.37,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2033,6.42,4.85,1.58,24.53,5.56,0.86,13.37,1792277.7
uniformity,Nonresidential equipment,c_corp,new_equity,2034,6.42,4.84,1.58,24.6,5.56,0.86,13.37,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2024,5.99,5.06,0.93,15.59,5.56,0.43,7.14,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2025,6.14,5.06,1.08,17.62,5.56,0.58,9.42,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2026,6.29,5.06,1.24,19.64,5.56,0.73,11.59,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2027,6.49,5.06,1.43,22.05,5.56,0.93,14.31,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2028,6.5,5.06,1.44,22.14,5.56,0.94,14.4,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2029,6.52,5.06,1.45,22.3,5.56,0.95,14.62,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2030,6.54,5.06,1.48,22.65,5.56,0.98,14.94,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2031,6.54,5.06,1.49,22.7,5.56,0.98,14.96,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2032,6.54,5.05,1.49,22.74,5.56,0.98,14.97,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2033,6.54,5.05,1.49,22.76,5.56,0.98,14.97,1792277.7
uniformity,Nonresidential equipment,c_corp,retained_earnings,2034,6.54,5.05,1.49,22.81,5.56,0.98,14.97,1792277.7
uniformity,Nonresidential equipment,c_corp,typical_equity,2024,5.93,4.96,0.98,16.48,5.56,0.37,6.22,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2025,6.08,4.96,1.13,18.5,5.56,0.52,8.54,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2026,6.23,4.95,1.28,20.51,5.56,0.67,10.75,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2027,6.43,4.96,1.47,22.9,5.56,0.87,13.5,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2028,6.44,4.96,1.48,22.99,5.56,0.88,13.59,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2029,6.46,4.96,1.49,23.14,5.56,0.89,13.82,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2030,6.48,4.96,1.52,23.51,5.56,0.92,14.15,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2031,6.48,4.95,1.53,23.57,5.56,0.92,14.17,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2032,6.48,4.95,1.53,23.62,5.56,0.92,14.18,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2033,6.48,4.95,1.53,23.64,5.56,0.92,14.18,3584555.4
uniformity,Nonresidential equipment,c_corp,typical_equity,2034,6.48,4.95,1.54,23.7,5.56,0.92,14.18,3584555.4
uniformity,Nonresidential equipment,c_corp,debt,2024,5.05,4.96,0.09,1.87,5.56,-0.51,-10.18,1883299.5
