"Key Model Metrics, by Asset Aggregate, Legal Form, and Financing Source, 2025 - 2035 (returns and EMTRs are in percent; tax wedges are in percentage points; weights are in millions of dollars)"
weighting_method,asset_aggs,legal_forms,financing,year,req_before_tax_returns,req_after_tax_returns_savers,total_tax_wedges,total_EMTRs,req_after_tax_returns_investors,c_corp_tax_wedges,c_corp_EMTRs,weights
uniformity,Nonresidential equipment,c_corp,new_equity,2025,5.74,4.64,1.1,19.11,5.33,0.4,7.03,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2026,5.91,4.63,1.27,21.57,5.33,0.58,9.74,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2027,6.13,4.64,1.49,24.35,5.33,0.8,13.0,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2028,6.14,4.64,1.5,24.41,5.33,0.8,13.1,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2029,6.15,4.64,1.51,24.58,5.33,0.82,13.35,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2030,6.17,4.64,1.54,24.89,5.33,0.84,13.65,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2031,6.18,4.63,1.54,24.99,5.33,0.84,13.67,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2032,6.18,4.63,1.55,25.04,5.33,0.84,13.68,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2033,6.18,4.63,1.55,25.09,5.33,0.84,13.68,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2034,6.18,4.63,1.55,25.1,5.33,0.84,13.68,1945104.05
uniformity,Nonresidential equipment,c_corp,new_equity,2035,6.18,4.63,1.55,25.12,5.33,0.84,13.68,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2025,5.85,4.84,1.02,17.36,5.33,0.52,8.91,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2026,6.03,4.83,1.19,19.82,5.33,0.69,11.52,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2027,6.25,4.83,1.42,22.64,5.33,0.92,14.68,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2028,6.26,4.84,1.42,22.7,5.33,0.92,14.77,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2029,6.27,4.84,1.44,22.89,5.33,0.94,15.01,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2030,6.3,4.84,1.46,23.19,5.33,0.96,15.3,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2031,6.3,4.83,1.46,23.26,5.33,0.97,15.33,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2032,6.3,4.83,1.47,23.29,5.33,0.97,15.33,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2033,6.3,4.83,1.47,23.33,5.33,0.97,15.33,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2034,6.3,4.83,1.47,23.34,5.33,0.97,15.33,1945104.05
uniformity,Nonresidential equipment,c_corp,retained_earnings,2035,6.3,4.83,1.47,23.35,5.33,0.97,15.33,1945104.05
uniformity,Nonresidential equipment,c_corp,typical_equity,2025,5.79,4.74,1.06,18.22,5.33,0.46,7.98,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2026,5.97,4.73,1.23,20.69,5.33,0.63,10.64,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2027,6.19,4.74,1.45,23.49,5.33,0.86,13.85,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2028,6.2,4.74,1.46,23.55,5.33,0.86,13.94,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2029,6.21,4.74,1.47,23.73,5.33,0.88,14.19,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2030,6.24,4.74,1.5,24.03,5.33,0.9,14.48,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2031,6.24,4.73,1.5,24.12,5.33,0.9,14.51,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2032,6.24,4.73,1.51,24.16,5.33,0.91,14.51,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2033,6.24,4.73,1.51,24.2,5.33,0.91,14.51,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2034,6.24,4.73,1.51,24.21,5.33,0.91,14.51,3890208.1
uniformity,Nonresidential equipment,c_corp,typical_equity,2035,6.24,4.73,1.51,24.23,5.33,0.91,14.51,3890208.1
uniformity,Nonresidential equipment,c_corp,debt,2025,4.83,4.74,0.09,1.81,5.33,-0.51,-10.48,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2026,5.02,4.73,0.29,5.71,5.33,-0.31,-6.23,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2027,5.24,4.74,0.5,9.56,5.33,-0.1,-1.83,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2028,5.25,4.74,0.52,9.84,5.33,-0.08,-1.49,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2029,5.28,4.74,0.54,10.25,5.33,-0.05,-0.97,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2030,5.32,4.74,0.58,10.89,5.33,-0.02,-0.31,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2031,5.31,4.73,0.58,10.86,5.33,-0.02,-0.43,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2032,5.31,4.73,0.58,10.87,5.33,-0.02,-0.46,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2033,5.31,4.73,0.58,10.95,5.33,-0.02,-0.43,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2034,5.3,4.73,0.58,10.86,5.33,-0.03,-0.55,2083099.53
uniformity,Nonresidential equipment,c_corp,debt,2035,5.3,4.73,0.58,10.86,5.33,-0.03,-0.57,2083099.53
uniformity,Nonresidential equipment,c_corp,typical (biz),2025,5.47,4.74,0.73,13.41,5.33,0.14,2.57,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2026,5.65,4.73,0.92,16.27,5.33,0.32,5.66,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2027,5.87,4.74,1.14,19.36,5.33,0.54,9.2,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2028,5.88,4.74,1.15,19.48,5.33,0.55,9.36,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2029,5.9,4.74,1.16,19.72,5.33,0.57,9.68,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2030,5.93,4.74,1.19,20.12,5.33,0.6,10.07,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2031,5.93,4.73,1.2,20.17,5.33,0.6,10.06,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2032,5.93,4.73,1.2,20.2,5.33,0.6,10.05,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2033,5.93,4.73,1.2,20.25,5.33,0.6,10.06,5973307.63
uniformity,Nonresidential equipment,c_corp,typical (biz),2034,5.93,4.73,1.2,20.24,5.33,0.59,10.03,5973307.63
