"Total EMTRs by Asset Type, Legal Form, and Financing Source, 2021 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,12.25,-2.41,7.97,2.34,-13.71,-2.35,9.05,-6.07,4.63
Communication equipment,11.78,-3.01,7.46,1.57,-14.74,-3.2,8.49,-6.8,4.02
Nonelectronic medical instruments,12.78,-1.74,8.54,3.2,-12.62,-1.43,9.68,-5.26,5.31
Electronic medical instruments,14.18,0.07,10.06,5.49,-9.57,1.07,11.35,-3.07,7.13
Nonmedical instruments,12.74,-1.79,8.49,3.13,-12.71,-1.5,9.63,-5.33,5.26
Photocopy and related equipment,11.61,-3.22,7.29,1.31,-15.08,-3.48,8.29,-7.05,3.81
Office and accounting equipment,12.16,-2.52,7.88,2.21,-13.89,-2.5,8.95,-6.2,4.52
Nuclear fuel,12.6,-1.97,8.34,2.9,-12.96,-1.74,9.46,-5.53,5.08
Other fabricated metal products,12.32,-2.33,8.04,2.45,-13.63,-2.25,9.13,-5.99,4.71
Steam engines,11.72,-3.1,7.39,1.46,-14.94,-3.33,8.41,-6.92,3.93
Internal combustion engines,13.73,-0.52,9.56,4.75,-10.56,0.26,10.81,-3.79,6.54
Metalworking machinery,12.65,-1.91,8.39,2.98,-12.92,-1.67,9.52,-5.48,5.13
"Special industrial machinery, n.e.c.",12.48,-2.13,8.21,2.7,-13.28,-1.97,9.32,-5.74,4.92
General industrial equipment,12.47,-2.14,8.2,2.69,-13.3,-1.99,9.31,-5.75,4.91
"Electric transmission, distribution and industrial apparatus",11.8,-3.0,7.48,1.59,-14.78,-3.19,8.51,-6.8,4.04
Light trucks (including utility vehicles),11.6,-3.23,7.27,1.29,-15.11,-3.5,8.28,-7.07,3.8
"Other trucks, buses, and truck trailers",11.61,-3.22,7.28,1.3,-15.1,-3.49,8.29,-7.06,3.81
Autos,11.68,-3.13,7.36,1.42,-14.94,-3.36,8.37,-6.94,3.9
Aircraft,11.3,-3.61,6.95,0.8,-15.76,-4.04,7.92,-7.53,3.41
Ships and boats,11.44,-3.45,7.1,1.01,-15.51,-3.81,8.08,-7.34,3.58
Railroad equipment,11.26,-3.68,6.9,0.72,-15.89,-4.13,7.86,-7.61,3.35
Household furniture,12.81,-1.7,8.57,3.25,-12.55,-1.38,9.71,-5.22,5.35
Other furniture and fixtures,11.53,-3.32,7.2,1.17,-15.28,-3.63,8.19,-7.18,3.71
Other agricultural machinery,12.55,-2.03,8.29,2.82,-13.12,-1.84,9.4,-5.63,5.01
Farm tractors,12.89,-1.6,8.66,3.38,-12.38,-1.24,9.81,-5.1,5.45
Other construction machinery,13.04,-1.41,8.82,3.62,-12.06,-0.97,9.98,-4.87,5.64
Construction tractors,13.09,-1.34,8.88,3.71,-11.94,-0.87,10.05,-4.78,5.71
Mining and oilfield machinery,13.01,-1.44,8.79,3.58,-12.12,-1.02,9.95,-4.91,5.61
Service industry machinery,12.94,-1.53,8.71,3.46,-12.27,-1.14,9.87,-5.02,5.52
Household appliances,13.26,-1.12,9.06,3.99,-11.57,-0.57,10.25,-4.52,5.93
"Other electrical equipment, n.e.c",13.35,-1.01,9.15,4.13,-11.38,-0.42,10.36,-4.38,6.05
Other nonresidential equipment,12.95,-1.52,8.72,3.47,-12.26,-1.13,9.88,-5.01,5.52
Office and medical buildings,28.78,16.94,25.32,25.99,14.39,22.58,27.83,16.07,24.39
Hospitals and special care facilities,27.93,15.8,24.39,24.73,12.69,21.19,26.85,14.74,23.31
