"Values by Industry and Asset Aggregate, 2025 (Percent)"
,Nonresidential equipment,Nonresidential structures,Residential property,R&D and own-account software,Other intellectual property products,Inventories,"All equipment, structures, IPP, and inventories",Land,"All equipment, structures, IPP, inventories, and land"
Farms,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
"Forestry, Fishing, and Related Activities",13.37,20.22,20.0,-11.18,22.94,27.35,17.98,25.02,19.35
Oil and Gas Extraction,13.37,20.18,20.0,-11.18,22.94,27.35,17.96,25.02,19.33
Mining (Except Oil and Gas),9.08,18.76,20.0,-20.23,15.58,27.35,15.88,25.02,17.75
Support Activities for Mining,12.3,19.43,20.0,-11.18,22.94,27.35,17.42,25.02,18.91
Electric Power,19.23,20.13,20.0,-11.18,22.94,27.35,19.1,25.02,20.21
Natural Gas Distribution,18.95,20.33,20.0,-11.18,22.94,27.35,19.13,25.02,20.24
"Water, Sewage and Other Systems",20.82,20.21,20.0,-11.18,22.94,27.35,19.47,25.02,20.5
Construction,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Food Manufacturing,13.13,20.22,20.0,-11.18,22.94,27.35,17.94,25.02,19.31
Beverage and Tobacco Products Manufacturing,12.95,20.22,20.0,-11.18,22.94,27.35,17.91,25.02,19.29
Textile and Textile Product Mills,13.07,20.22,20.0,-11.18,22.94,27.35,17.93,25.02,19.3
"Apparel, Leather, and Allied Products Manufacturing",12.67,20.22,20.0,-11.18,22.94,27.35,17.85,25.02,19.25
Wood Product Manufacturing,13.77,20.22,20.0,-11.18,22.94,27.35,18.06,25.02,19.4
Paper Manufacturing,13.39,20.21,20.0,-11.18,22.94,27.35,17.98,25.02,19.34
Printing and Related Support Activities,13.48,20.22,20.0,-11.18,22.94,27.35,18.0,25.02,19.36
Petroleum and Coal Products Manufacturing,14.26,20.22,20.0,-11.18,22.94,27.35,18.15,25.02,19.48
Chemical Manufacturing,12.35,20.21,20.0,-8.17,22.94,27.35,17.91,25.02,19.29
Plastics and Rubber Products Manufacturing,13.33,20.22,20.0,-11.18,22.94,27.35,17.98,25.02,19.34
Nonmetallic Mineral Product Manufacturing,13.7,20.22,20.0,-11.18,22.94,27.35,18.04,25.02,19.39
Primary Metal Manufacturing,12.89,20.22,20.0,-11.18,22.94,27.35,17.89,25.02,19.28
Fabricated Metal Product Manufacturing,12.84,20.22,20.0,-11.18,22.94,27.35,17.89,25.02,19.27
Machinery Manufacturing,-12.44,12.36,20.0,-78.08,-36.39,27.35,6.4,25.02,10.77
Computer and Electronic Product Manufacturing,-69.25,1.05,20.0,-24.55,22.94,27.35,-0.81,25.02,5.75
"Electrical Equipment, Appliances, and Components Manufacturing",447.45,-49.61,20.0,216.58,161.05,27.35,-137.38,25.02,-63.99
Motor Vehicle and Parts Manufacturing,3.56,17.09,20.0,-87.49,5.65,27.35,12.04,25.02,14.89
Other Transportation Equipment Manufacturing,13.31,20.22,20.0,-16.41,22.94,27.35,17.76,25.02,19.18
Furniture and Related Products Manufacturing,13.55,20.22,20.0,-11.18,22.94,27.35,18.02,25.02,19.37
Medical Equipment and Supplies,12.47,20.22,20.0,-11.18,22.94,27.35,17.82,25.02,19.22
Other Manufacturing,13.33,20.22,20.0,-11.18,22.94,27.35,17.98,25.02,19.34
Wholesale Durable Goods,12.36,20.22,20.0,-11.18,22.94,27.35,17.8,25.02,19.2
Wholesale Nondurable Goods,12.36,20.22,20.0,-11.18,22.94,27.35,17.8,25.02,19.2
Motor Vehicle and Parts Dealers,12.36,20.22,20.0,-11.18,22.94,27.35,17.8,25.02,19.2
Food and Beverage Stores,12.36,20.22,20.0,-11.18,22.94,27.35,17.8,25.02,19.2
General Merchandise Stores,12.36,20.22,20.0,-11.18,22.94,27.35,17.8,25.02,19.2
Other Retail,13.42,19.85,20.0,-11.18,22.94,27.35,17.82,25.02,19.22
Air Transportation,13.35,20.22,20.0,-11.18,22.94,27.35,17.98,25.02,19.34
Rail Transportation,13.37,20.22,20.0,-11.18,22.94,27.35,17.98,25.02,19.35
Water Transportation,17.39,20.22,20.0,-11.18,22.94,27.35,18.76,25.02,19.95
Truck Transportation,12.31,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Transit and Ground Passenger Transportation,12.24,20.23,20.0,-11.18,22.94,27.35,17.77,25.02,19.19
Pipeline Transportation,17.39,20.22,20.0,-11.18,22.94,27.35,18.76,25.02,19.95
Other Transportation and Support Activities,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
Warehousing and Storage,12.34,20.22,20.0,-11.18,22.94,27.35,17.79,25.02,19.2
