"Total EMTRs by Industry, Legal Form, and Financing Source, 2021 (Percent)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Farms,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
"Forestry, Fishing, and Related Activities",19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Oil and Gas Extraction,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Mining (Except Oil and Gas),19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Support Activities for Mining,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Utilities,23.4,13.64,20.5,18.8,9.78,16.09,22.06,12.51,19.22
Construction,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
"Food, Beverage, and Tobacco Product Manufacturing",19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Textile and Textile Product Mills,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
"Apparel, Leather, and Allied Products Manufacturing",19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Wood Product Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Paper Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Printing and Related Support Activities,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Petroleum and Coal Products Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Chemical Manufacturing,19.78,6.02,15.81,13.14,-1.4,8.93,17.88,3.89,13.84
Plastics and Rubber Products Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Nonmetallic Mineral Product Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Primary Metal Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Fabricated Metal Product Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Machinery Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Computer and Electronic Product Manufacturing,18.61,4.39,14.51,11.64,-3.45,7.28,16.62,2.15,12.44
"Electrical Equipment, Appliances, and Components Manufacturing",19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Motor Vehicle and Parts Manufacturing,18.4,4.11,14.28,11.38,-3.8,6.99,16.4,1.85,12.2
Other Transportation Equipment Manufacturing,19.13,5.11,15.08,12.3,-2.55,8.0,17.18,2.91,13.06
Furniture and Related Products Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Miscellaneous Manufacturing,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Wholesale Trade,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
Retail Trade,19.05,5.03,15.0,12.19,-2.68,7.89,17.09,2.82,12.97
Air Transportation,19.16,5.15,15.11,12.34,-2.49,8.05,17.21,2.96,13.09
